id,name,display_name,code,latitude,longitude,swlat,swlng,nelat,nelng,place_type,bbox_area,created_at,updated_at,ancestry,slug,source_id,admin_level,uuid,woeid,species_count,species_density
2579,"Washington County, US, CO","Washington County, US, CO",,39.9710617874,-103.2012528805,39.5656540000,-103.7070720000,40.4385080000,-102.7799430000,9,0.809248256166,2009-06-30 05:16:25,2024-03-01 16:46:26.645362,97394/1/34,washington-county-us-co,10464,20,fbcba2f2-d92d-44ac-9fdc-c76d373e3e7a,12587788,427,527.6501947906701
2085,Cheyenne,"Cheyenne County, CO, US",,38.8279397214,-102.6033958232,38.6124500000,-103.1729430000,39.0470820000,-102.0447920000,9,0.490330525431887,2009-06-30 05:11:22,2018-09-06 14:31:46.974253,97394/1/34,cheyenne-county,10464,20,bff9b3d1-0d21-4f50-805c-8b5763592633,12587736,305,622.0293948278126
249,"Lincoln County, US, CO","Lincoln County, US, CO",,38.9880685586,-103.5139653665,38.5164090000,-104.0555390000,39.5665700000,-103.1543760000,9,0.946366237243,2009-06-30 04:50:13,2024-03-01 16:46:48.337753,97394/1/34,lincoln-county-us-co,10464,20,beb060e7-dc3b-4a9d-a8fd-0bd2c8598310,12587764,616,650.9107951637847
1737,Kit Carson,"Kit Carson County, US, CO",,39.3054413259,-102.6028874213,39.0376100000,-103.1632090000,39.5740580000,-102.0465710000,9,0.599018221824,2009-06-30 05:07:41,2018-09-06 14:31:53.980579,97394/1/34,kit-carson-county,10464,20,a6af7766-9fe8-4888-9e39-85548e21aa0a,12587759,392,654.4041328264888
197,Elbert,"Elbert County, US, CO",,39.2865600292,-104.1358914714,38.8664360000,-104.6632610000,39.5666230000,-103.7141170000,9,0.664578289928,2009-06-30 04:49:41,2018-09-06 14:31:54.89373,97394/1/34,elbert-county,10464,20,63127e16-224b-4f66-b8f8-4247c2925bde,12587748,558,839.630196256416
162,Moffat,"Moffat County, US, CO",,40.6184222208,-108.2072906040,40.2199910000,-109.0512450000,41.0030730000,-107.3133650000,9,1.36090254616,2009-06-30 04:49:13,2018-09-06 14:31:54.61881,97394/1/34,moffat-county,10464,20,424a838b-8d39-44cb-b635-d4558e16052c,12587768,1182,868.5412510507813
1740,Yuma,"Yuma County, US, CO",,40.0028993475,-102.4242263231,39.5677480000,-102.8037670000,40.4400080000,-102.0498060000,9,0.65765002186,2009-06-30 05:07:42,2018-09-06 14:31:53.928857,97394/1/34,yuma-county,10464,20,b53456e4-5b15-4334-8b84-4041f6ada7ad,12587790,619,941.2301063251119
1560,Garfield,"Garfield County, US, CO",,39.5993071795,-107.9039561578,39.3658590000,-109.0514590000,40.0915380000,-107.0317720000,9,1.465644442473,2009-06-30 05:05:04,2018-09-06 14:33:58.279812,97394/1/34,garfield-county-co-us,10464,20,6d1a16e9-42f2-4857-a6cb-e0ad5c1211f6,12587750,1556,1061.6490295385297
1537,Las Animas,"Las Animas County, CO, US",,37.3158507577,-104.0387164003,36.9927270000,-105.1550630000,37.8174880000,-103.0746630000,9,1.7158327844,2009-06-30 05:04:51,2018-09-06 14:31:47.191147,97394/1/34,las-animas-county,10464,20,008f9dc6-01db-4246-b2bb-fa213000f2df,12587763,1875,1092.76382701573
202,Rio Blanco,"Rio Blanco County, US, CO",,39.9798357527,-108.2172257940,39.6497120000,-109.0513160000,40.2260620000,-107.0373630000,9,1.16074181155,2009-06-30 04:49:44,2018-09-06 14:31:54.883735,97394/1/34,rio-blanco-county,10464,20,1e53e1a4-bd31-4830-bd50-e334cd4b7d02,12587779,1371,1181.1412205176198
1600,Saguache,"Saguache County, US, CO",,38.0805527551,-106.2815555634,37.7478090000,-107.0018920000,38.4582670000,-105.4286470000,9,1.11772449621016,2009-06-30 05:06:04,2018-09-06 14:31:58.388528,97394/1/34,saguache-county,10464,20,67b8fe10-0c8e-4d93-b307-da8e91c107d6,12587782,1325,1185.4441810058236
